Feature,Coefficient,Abs_Coefficient,Correlation_with_Target,Abs_Correlation
LINC01141,-0.01100868898338978,0.01100868898338978,-0.20248504291440167,0.20248504291440167
HOXC-AS2,-0.010967438830563881,0.010967438830563881,-0.2216270197223012,0.2216270197223012
GTF2IP4,0.0108863803833264,0.0108863803833264,0.17238139660733226,0.17238139660733226
AL158151.4,0.010864578971603086,0.010864578971603086,-0.174266656222718,0.174266656222718
MIR221,-0.01081837325631471,0.01081837325631471,-0.2403481156999102,0.2403481156999102
LUZP2,0.010817051253489533,0.010817051253489533,0.22036507687113444,0.22036507687113444
BCAT1,0.010768649324966548,0.010768649324966548,0.1688649038456421,0.1688649038456421
HAP1,-0.01073534050063398,0.01073534050063398,-0.18009238063031166,0.18009238063031166
ENO2,0.010693927982038075,0.010693927982038075,-0.1740775598759077,0.1740775598759077
SCG5,-0.01066896163926629,0.01066896163926629,-0.1932776338048857,0.1932776338048857
BASP1,0.010634150524950065,0.010634150524950065,-0.1774905547445606,0.1774905547445606
HS6ST1,-0.010628157566733942,0.010628157566733942,-0.18944662572326573,0.18944662572326573
RAC1P4,0.010599951317672964,0.010599951317672964,0.2500502291284674,0.2500502291284674
RPL35AP8,0.010514915381050411,0.010514915381050411,0.19618329891357225,0.19618329891357225
UBE2QL1,-0.010483241452241755,0.010483241452241755,-0.2145575630724461,0.2145575630724461
AC016769.5,-0.010439984908413717,0.010439984908413717,-0.2824725045744539,0.2824725045744539
RCAN3,-0.010435616411888095,0.010435616411888095,0.16950167783386924,0.16950167783386924
NSA2P7,-0.010435461071983208,0.010435461071983208,-0.17701983665077678,0.17701983665077678
YBEY,-0.010422310840817076,0.010422310840817076,-0.17499167439383329,0.17499167439383329
NBPF2P,0.010418848599531889,0.010418848599531889,0.21371112885319382,0.21371112885319382
AL357075.3,0.010379275160544767,0.010379275160544767,0.2055926254970739,0.2055926254970739
BLACAT1,-0.010378913277032682,0.010378913277032682,-0.1973388121179812,0.1973388121179812
DUSP1,0.010347842807899401,0.010347842807899401,-0.16932788215879996,0.16932788215879996
AC012291.3,-0.010343371048933698,0.010343371048933698,-0.17617961089582487,0.17617961089582487
TSPAN4,-0.010320083288935073,0.010320083288935073,-0.23269788821882273,0.23269788821882273
AC073508.3,-0.01029621218096203,0.01029621218096203,-0.2843941202486458,0.2843941202486458
TBL1XR1,0.01027176785524789,0.01027176785524789,0.2316447365417432,0.2316447365417432
AL603839.2,-0.010235470689031448,0.010235470689031448,-0.2517199013860855,0.2517199013860855
SCARNA20,-0.01022576796911069,0.01022576796911069,-0.2155762006875904,0.2155762006875904
TXNL4B,0.010196080166868024,0.010196080166868024,0.22182905340707115,0.22182905340707115
SLC18B1,0.010171984512225457,0.010171984512225457,0.20079236077109913,0.20079236077109913
SPP1,-0.010120451133617734,0.010120451133617734,-0.20725541230320732,0.20725541230320732
AC016394.2,0.010114946142979551,0.010114946142979551,0.1773133682562968,0.1773133682562968
AC068057.2,-0.01010652685072883,0.01010652685072883,-0.25524238778539793,0.25524238778539793
THAP7-AS1,0.010090556260793417,0.010090556260793417,-0.18270115557354832,0.18270115557354832
SNTG1,-0.010081314746967412,0.010081314746967412,-0.18286158698960234,0.18286158698960234
FOSB,0.010051731057759476,0.010051731057759476,-0.23272026433641818,0.23272026433641818
MRPS6,-0.00997671921641339,0.00997671921641339,-0.19414506050722408,0.19414506050722408
AC008525.1,-0.009969955318363331,0.009969955318363331,-0.22788616865409433,0.22788616865409433
AL158151.2,-0.009957547054959822,0.009957547054959822,-0.20885824870427952,0.20885824870427952
AC099681.1,-0.009954287422130236,0.009954287422130236,-0.2934733173922775,0.2934733173922775
PCDH10,0.009922631412990579,0.009922631412990579,0.16894817108181698,0.16894817108181698
RAB1C,0.009913022970883307,0.009913022970883307,0.17008896684560776,0.17008896684560776
ZNF350-AS1,-0.009906070125281045,0.009906070125281045,-0.17553023203430668,0.17553023203430668
MIR4420,-0.009896291628201718,0.009896291628201718,-0.2125009170768101,0.2125009170768101
C16orf74,-0.00989360245398619,0.00989360245398619,-0.18514672282692068,0.18514672282692068
NELL1,-0.009870061861216946,0.009870061861216946,-0.2310764547420406,0.2310764547420406
LINC01894,0.00986060953622754,0.00986060953622754,0.181504241739811,0.181504241739811
AL445985.1,0.009830583787560288,0.009830583787560288,0.19738867197620227,0.19738867197620227
RNU6-882P,-0.009818570155188774,0.009818570155188774,-0.2154321290705922,0.2154321290705922
HSPE1P8,-0.009799588156710934,0.009799588156710934,-0.18641320237864417,0.18641320237864417
SMURF2P1,0.009772120344321724,0.009772120344321724,0.19104674583164485,0.19104674583164485
DUSP14,-0.009723943581429136,0.009723943581429136,-0.16941598491641424,0.16941598491641424
NUAK2,-0.009674626980785707,0.009674626980785707,-0.19347606262553907,0.19347606262553907
LINC00706,0.009672603805336803,0.009672603805336803,-0.18483148956813122,0.18483148956813122
SLC43A1,0.009662339344122826,0.009662339344122826,0.20019026224020176,0.20019026224020176
XKR4,0.009637805426716366,0.009637805426716366,-0.16869500766443044,0.16869500766443044
AP000254.1,0.009593495772610441,0.009593495772610441,0.25352010691137455,0.25352010691137455
MARCHF9,0.009563046780559943,0.009563046780559943,-0.18311216301139596,0.18311216301139596
MIR1-1HG-AS1,0.00953310136376388,0.00953310136376388,-0.1917659260944687,0.1917659260944687
ANKRD35,-0.009524988670831902,0.009524988670831902,-0.17316576153576277,0.17316576153576277
SEPTIN4,-0.009515351801943486,0.009515351801943486,-0.19732426204688186,0.19732426204688186
CTF1,0.009471638430298338,0.009471638430298338,-0.19747390052302424,0.19747390052302424
PLAUR,-0.009447789737021709,0.009447789737021709,-0.18044766125933656,0.18044766125933656
SRRM4,-0.00938564172450388,0.00938564172450388,-0.16891748728611244,0.16891748728611244
ARL2BP,0.009384475326900841,0.009384475326900841,0.21517499908124532,0.21517499908124532
VPS13B-DT,-0.009367315114708829,0.009367315114708829,-0.25011549049225323,0.25011549049225323
TMEM99,-0.009305425541029012,0.009305425541029012,-0.1892597823295007,0.1892597823295007
