Feature,LR_Coefficient,LR_Abs,RF_Importance
ASH1L-AS1,-0.04111567193510306,0.04111567193510306,0.0016923555653932986
IRX1,0.041020451002464035,0.041020451002464035,0.0002515129508593669
CCDC9B,0.040826217543360944,0.040826217543360944,0.008072359968029246
ADA2,0.040714978136094336,0.040714978136094336,0.005896370987156016
CLEC18B,-0.04068688743458449,0.04068688743458449,0.00017322430920440877
LINC01353,0.040599796438560994,0.040599796438560994,0.0010237558317085207
C5orf67,-0.04049984553058101,0.04049984553058101,0.0009554112880400175
AC016394.2,-0.04034014913999535,0.04034014913999535,7.094266277939736e-05
AP000223.1,-0.04032597754991774,0.04032597754991774,0.0
C1QL4,-0.04029129994979209,0.04029129994979209,6.593137897007311e-05
LINC02352,-0.04023086082392348,0.04023086082392348,0.0009810853756187
RFX3,-0.040179275562731126,0.040179275562731126,0.0001943442062312789
AC090772.4,0.040048014713727306,0.040048014713727306,0.0002768435165677068
AC100854.1,0.04001652760959052,0.04001652760959052,0.0006324720845863418
DLG5-AS1,-0.03993555686816363,0.03993555686816363,9.487404489687647e-05
CRYBB2P1,-0.03990881414509226,0.03990881414509226,0.0019444306111180887
HOXD4,-0.039864299032023216,0.039864299032023216,9.866210661439233e-05
RNU6-476P,-0.039858114067034,0.039858114067034,0.0
TCTA,0.039836406998125115,0.039836406998125115,0.0003729559735662782
NME4,0.039818378827164436,0.039818378827164436,0.0004578509319539745
DNAI3,0.03979523448958514,0.03979523448958514,0.0012549067031756764
C6orf226,-0.03972367718044397,0.03972367718044397,0.00019470600121236612
RPL10P3,0.039657425236764667,0.039657425236764667,0.00030837592162372287
RPS5P8,-0.03939433853486217,0.03939433853486217,0.009901952049798173
SNRPA1,-0.03939209987975129,0.03939209987975129,0.00029309080061713447
NUTM2A-AS1,-0.03936064465419787,0.03936064465419787,0.0004940524919116257
FECH,0.03932093528146762,0.03932093528146762,0.0006931414522373931
COX7A2P2,-0.03926462369468107,0.03926462369468107,0.0051968241014344226
CUTALP,0.03921523079136089,0.03921523079136089,0.0004602864145278883
HOXC-AS2,0.03912788441588093,0.03912788441588093,0.00038119854626855553
AC012618.3,-0.03912016427371475,0.03912016427371475,0.00041064915127242706
AL603839.2,0.03899791105995645,0.03899791105995645,0.0
SPP1,0.038889357485423354,0.038889357485423354,0.0005732761351758375
RNU6-882P,-0.038854045777154934,0.038854045777154934,0.00035860242532450675
ZNF300P1,0.03880097509777815,0.03880097509777815,0.0002743190623787141
RNF138,-0.038796131693872846,0.038796131693872846,0.0005199657309517212
CACNA1A,-0.03858848733917193,0.03858848733917193,0.00018295187326168542
CACNB2,-0.03858593250506337,0.03858593250506337,0.0
RBM43,0.03854394589800379,0.03854394589800379,0.0
PCSK2,-0.03853112623540623,0.03853112623540623,0.001103690215898472
AC105345.1,0.038392824800292165,0.038392824800292165,0.0
AL354919.2,0.03836768732146724,0.03836768732146724,0.0027334419521531355
TAS2R31,0.0383013308476936,0.0383013308476936,0.0003381007332947378
SLC44A3,-0.038153375411443126,0.038153375411443126,0.0005888456802048311
AC016546.1,0.03808859131148899,0.03808859131148899,0.0004070011473517939
AC131009.1,0.0380719625580401,0.0380719625580401,0.00044980192416525084
SEPTIN7P7,-0.03802333930884941,0.03802333930884941,0.0015510185058506658
PTPRN,0.037966212035390995,0.037966212035390995,0.0004893338979114112
HAP1,-0.03795271696123249,0.03795271696123249,0.00045369953432106434
MED10,0.037847402853384726,0.037847402853384726,0.0001829573934837088
PNPLA3,-0.03784498687639727,0.03784498687639727,0.0014327404569388217
snoZ196,-0.03779625052821169,0.03779625052821169,0.0
SMAP1,-0.03773693093869484,0.03773693093869484,0.0007798536553513865
SNORD99,0.03759968759675857,0.03759968759675857,0.000778617197115046
AL445307.1,-0.03758058764701852,0.03758058764701852,0.0024701544528654856
FCRLB,-0.037468675731729274,0.037468675731729274,0.000914972958129576
ZNF350-AS1,-0.037455592982283244,0.037455592982283244,0.0005129337965325744
MTCO2P12,-0.03730814426809616,0.03730814426809616,0.0
SNTG1,-0.037239309587456866,0.037239309587456866,0.0020672538390950194
NR4A1,0.03705334386997465,0.03705334386997465,7.882751578493597e-05
KCNH1-IT1,-0.037052404401003776,0.037052404401003776,9.620463997203964e-05
SULT1A1,-0.03703707159816055,0.03703707159816055,0.0008112152204719183
AC089999.2,0.03685363167672578,0.03685363167672578,0.0013156640956049773
LAMTOR2,0.03675718314022075,0.03675718314022075,9.86193293885601e-05
VPS33B,0.036695155575369835,0.036695155575369835,0.000104278237178201
PIK3C3,0.036691743308925884,0.036691743308925884,0.0007142483773422291
PRPH,0.03661953136090693,0.03661953136090693,0.0
CERS5,0.036611665498329726,0.036611665498329726,0.0001888032509971862
SHOX2,0.036490951839156086,0.036490951839156086,0.0004444460285495521
SMAD4,0.0363477643922081,0.0363477643922081,0.0003826168946258603
WNT5A,0.03621846513172998,0.03621846513172998,0.0015020979785770295
LPCAT4,0.0360169067415718,0.0360169067415718,0.00019645681977970377
NDUFAF3,0.03601091127440615,0.03601091127440615,0.0
HTRA1,0.035910568283699595,0.035910568283699595,0.0001968954812654683
SUMO2P19,-0.03580290886148076,0.03580290886148076,0.0003580526954454394
AC010359.2,-0.035771383159358565,0.035771383159358565,0.00040477136147103226
TALDO1,-0.035747935969990964,0.035747935969990964,0.0010011908411523584
GADD45B,0.035395842330635204,0.035395842330635204,9.421467104595805e-05
ACOT7,-0.035181840410994814,0.035181840410994814,0.00032217096440311915
NEUROD6,-0.03513847449894522,0.03513847449894522,0.0005872832945609066
AC046143.2,0.03513446895292934,0.03513446895292934,0.0007086317598809507
HOXD10,0.03484612512488764,0.03484612512488764,0.0
SLC17A9,0.03478828580541214,0.03478828580541214,0.001850540293631063
GNPTG,-0.03470858292404422,0.03470858292404422,0.000980450879139138
GPR89B,0.03453344837930425,0.03453344837930425,0.0005992255859764499
BX470102.1,-0.034479951185390996,0.034479951185390996,0.0012628633283570494
CCDC171,-0.03438184440891445,0.03438184440891445,0.0
NAGLU,0.03429376648571462,0.03429376648571462,0.0009683155740590053
AL353807.5,-0.0342041141899312,0.0342041141899312,0.000396619575021163
AL031985.2,-0.03415462706465238,0.03415462706465238,0.00018519785750278312
DHRS1,0.03409658503433434,0.03409658503433434,0.0010456219267349065
CDC73,0.03386840241523638,0.03386840241523638,0.0
SHLD2,0.03377516696196435,0.03377516696196435,0.0
MIR8078,-0.033703510340983664,0.033703510340983664,0.0
EIF4BP3,0.033590967762663716,0.033590967762663716,0.0003324858963864129
AL158151.4,-0.03314307018968179,0.03314307018968179,7.193070238006504e-05
RPS3AP18,-0.03311303680245066,0.03311303680245066,0.0003831212951898986
ABRAXAS1,0.033062906455729464,0.033062906455729464,8.373861849563001e-05
AC006512.1,0.03294140524957254,0.03294140524957254,0.0
HOXB5,-0.03290150357361409,0.03290150357361409,0.00038513516362094095
CFL1,-0.032860438528009836,0.032860438528009836,0.0005619624127060654
BLOC1S4,0.03284382158069164,0.03284382158069164,0.0019076522984140568
AAMDC,0.032820188355521404,0.032820188355521404,0.0010620760814206564
RNA5SP246,0.03281472030489059,0.03281472030489059,0.0
SLC40A1,-0.032542984934425055,0.032542984934425055,0.00027483740273252284
RGS16,0.03244496877870173,0.03244496877870173,0.00037932957700325835
FP671120.9,-0.03237080444449361,0.03237080444449361,0.00020708693272411386
CYP21A2,-0.03230458630395943,0.03230458630395943,0.00020148141736647153
MIR3193,-0.03228803132898861,0.03228803132898861,1.0500231970320845e-17
LINC01770,-0.0321023014318886,0.0321023014318886,0.000505871171474999
RNU7-160P,0.032060144380060544,0.032060144380060544,0.0
HSPE1P8,-0.03189275650563016,0.03189275650563016,0.0011850984384474865
PRDX6-AS1,0.03178727556665605,0.03178727556665605,0.0009248781597665225
DUSP14,-0.03178678048930814,0.03178678048930814,0.0
RN7SL1,-0.031775246282477736,0.031775246282477736,0.0005649472121126096
AC090204.1,0.031627056521015905,0.031627056521015905,0.0
NPR3,0.03162335250380457,0.03162335250380457,0.0013310041592540585
HSD3B7,0.031567398214776325,0.031567398214776325,0.005945342082336652
ULK2,-0.031556028451427694,0.031556028451427694,0.0007769865422046803
ZNF562,-0.03140395676939678,0.03140395676939678,0.0015916948710418466
SNHG18,0.031367184091533065,0.031367184091533065,0.0
RNF167,-0.03121150911954771,0.03121150911954771,0.00044141315153565857
THAP7-AS1,0.030893973211276793,0.030893973211276793,0.00043685279082013567
SEC24B,0.03088688760806915,0.03088688760806915,0.00024138158282797708
LINC01529,0.030816926962941787,0.030816926962941787,0.0002625419997682766
GIPR,-0.03081113049630572,0.03081113049630572,0.0
RPSAP46,-0.030777393930626756,0.030777393930626756,0.005059149066993019
LOXL1-AS1,-0.03061353254484935,0.03061353254484935,0.0013389585151824855
ARSA,-0.03050354424272763,0.03050354424272763,0.0006857321265282825
PPBP,0.030402446027539876,0.030402446027539876,0.001363197292194095
TXNL4B,0.030396098612610514,0.030396098612610514,0.00024431371405863846
SESN3,-0.030344486786932506,0.030344486786932506,0.00013183204316209228
TWIST1,0.030332446288230022,0.030332446288230022,0.0010093345026058924
ATP1A3,-0.030320813737185797,0.030320813737185797,0.004133303312334915
AC127002.1,-0.030198809203693784,0.030198809203693784,0.00018533983656080101
DKK3,-0.03016959521375442,0.03016959521375442,0.0007781581409795859
CD81,0.03014795554105095,0.03014795554105095,0.0009395972954335648
MIR553,0.03009140531865773,0.03009140531865773,0.0
AC007318.1,-0.029940780910714993,0.029940780910714993,0.0006637352042298851
AC009549.1,0.02989579867612016,0.02989579867612016,0.0011985238623747549
ZNF436-AS1,-0.02948229216116008,0.02948229216116008,0.00020453602985742887
ZDHHC20,-0.02945679125612298,0.02945679125612298,0.0004927914409625381
FABP4,0.029436525514724435,0.029436525514724435,0.0
HNRNPCP4,-0.029382684987351776,0.029382684987351776,0.0005228147849168802
