Feature,Coefficient_full_dataset,Abs_Coefficient_full_dataset,Coefficient_filtered_dataset,Abs_Coefficient_filtered_dataset
BCL2A1,-0.07082604336891034,0.07082604336891034,-0.02218100057862442,0.02218100057862442
EEF1AKMT3,-0.07063054411145679,0.07063054411145679,-0.016752560804338908,0.016752560804338908
CHRM4,-0.07037383596729782,0.07037383596729782,0.033205035467866635,0.033205035467866635
UNC5B-AS1,0.06990200387372848,0.06990200387372848,-0.03085134142572522,0.03085134142572522
RHNO1,0.06983373726607188,0.06983373726607188,0.05041961906137678,0.05041961906137678
TBX15,0.06962019959659224,0.06962019959659224,0.03175172949859452,0.03175172949859452
CDH13,0.06945687948407717,0.06945687948407717,0.05036891003035404,0.05036891003035404
AC069236.1,-0.06938945498707859,0.06938945498707859,0.0456061092094602,0.0456061092094602
SCARNA20,0.06936732541637906,0.06936732541637906,0.01836490401086605,0.01836490401086605
AC007485.1,0.06903823205845826,0.06903823205845826,0.05526159643339917,0.05526159643339917
TRAPPC4,-0.06885778709088236,0.06885778709088236,-0.04036041862252132,0.04036041862252132
SDS,-0.0686689924228747,0.0686689924228747,-0.010390308038320169,0.010390308038320169
AC104024.4,-0.0684740277822769,0.0684740277822769,-0.005733752509202997,0.005733752509202997
CD47,-0.0678040556708626,0.0678040556708626,-0.042882311993663304,0.042882311993663304
RGS14,0.06775230458888316,0.06775230458888316,0.010681973078479064,0.010681973078479064
BABAM2,0.06768370499508965,0.06768370499508965,0.05420111475929791,0.05420111475929791
DES,0.06749844038748952,0.06749844038748952,0.0250727866543738,0.0250727866543738
MGMT,0.06734076894553707,0.06734076894553707,-0.014199100654755163,0.014199100654755163
KLHL35,0.067333651167118,0.067333651167118,0.036742627708978584,0.036742627708978584
SCARA3,-0.06713485016347062,0.06713485016347062,-0.0043641469699487465,0.0043641469699487465
RUFY2,0.0669087871887043,0.0669087871887043,0.006129645331305603,0.006129645331305603
AC006249.1,0.06657566498478042,0.06657566498478042,-0.01914859126442201,0.01914859126442201
HOXC13,0.06649191028768921,0.06649191028768921,0.0709586709469524,0.0709586709469524
LMO7,0.06640539501145219,0.06640539501145219,0.07391732023509477,0.07391732023509477
EIPR1,0.06631836847193977,0.06631836847193977,0.036161968926732374,0.036161968926732374
