Feature,Coefficient,Abs_Coefficient
SYPL2,0.01296309243607971,0.01296309243607971
TOB1-AS1,-0.012961896639494597,0.012961896639494597
AC007130.1,0.012961292947823548,0.012961292947823548
MARVELD1,-0.012956376179422453,0.012956376179422453
TPM3P6,0.012952485765758198,0.012952485765758198
PET117,0.01294991538740436,0.01294991538740436
RNU4-14P,0.012939782838427573,0.012939782838427573
SIX2,-0.012929249677564291,0.012929249677564291
AC022968.1,-0.012923255712094007,0.012923255712094007
CNTNAP1,0.0129168011253087,0.0129168011253087
TRBJ2-3,-0.012916438349189567,0.012916438349189567
PHBP11,-0.01291300094288307,0.01291300094288307
MIR4420,0.01291167866228835,0.01291167866228835
AC093599.2,-0.012905641727437491,0.012905641727437491
AC025048.4,0.012905327888156352,0.012905327888156352
POLR1E,-0.012899283035802098,0.012899283035802098
CTSLP2,0.012885159526193575,0.012885159526193575
CRYGD,0.012883628748720418,0.012883628748720418
IL11,-0.012881853776697615,0.012881853776697615
RNA5SP217,0.012880418771940958,0.012880418771940958
RPSAP53,0.012860288325033845,0.012860288325033845
HLA-Z,0.012857583910382199,0.012857583910382199
HAGLROS,-0.01282789418981929,0.01282789418981929
ZAP70,-0.012804453227925162,0.012804453227925162
IGLV7-46,-0.01280245719173342,0.01280245719173342
LAPTM4BP2,-0.012797557289915277,0.012797557289915277
RAC1P5,-0.012780914286087118,0.012780914286087118
FANK1,-0.012771916025629328,0.012771916025629328
MORN1,-0.01276625259427038,0.01276625259427038
ZNF813,-0.012764322175562568,0.012764322175562568
BX284668.5,0.012754877535817704,0.012754877535817704
IL1RN,-0.012752355723243531,0.012752355723243531
UBAP1,-0.012745793431851619,0.012745793431851619
RPL29P33,-0.012743555563270661,0.012743555563270661
AP000282.1,0.012740912036804936,0.012740912036804936
AL357055.2,-0.012736762663116073,0.012736762663116073
HSPE1P5,0.01272713499091968,0.01272713499091968
AC104339.1,-0.01272580491686659,0.01272580491686659
ZNF442,0.012713356109797378,0.012713356109797378
